Date,Revenue (in million $),Profit (in million $),Stock Price ($),Market Sentiment,Number of New Customers,Customer Retention Rate (%),Expenses (in million $)
2024,329.35,27.99,252.8,Negative,6732,78.78,255.11
2030,462.14,37.41,67.34,Negative,4373,60.55,73.61
2025,234.62,101.8,146.35,Neutral,1417,67.82,174.01
2032,378.69,98.05,269.37,Positive,8164,68.46,94.36
2031,327.41,90.63,232.91,Neutral,6104,83.29,135.2
2027,195.44,105.18,234.98,Negative,5968,71.33,183.58
2026,430.58,54.81,273.88,Positive,1395,88.76,261.79
2031,227.73,143.01,287.65,Negative,6486,62.5,72.93
2031,321.48,39.78,286.55,Positive,2062,62.74,173.61
2029,498.37,17.82,234.26,Positive,5330,81.17,292.16
2031,404.6,96.55,75.28,Negative,6293,81.03,68.19
2024,456.76,30.52,178.33,Neutral,2365,84.38,286.81
2031,336.76,59.03,227.05,Negative,7588,71.34,226.27
2032,462.54,25.57,173.16,Positive,5849,74.06,64.08
2030,147.01,100.89,236.51,Positive,1504,71.25,121.43
2030,311.35,71.09,250.53,Positive,7316,61.29,272.79
2028,469.86,138.68,113.25,Negative,7190,78.88,223.94
2023,351.02,91.8,275.29,Positive,8114,68.43,287.6
2030,257.81,24.95,133.92,Neutral,7819,73.91,138.34
2024,206.38,60.45,114.99,Negative,8102,76.08,127.38
2026,341.11,47.93,83.3,Negative,4324,88.22,154.16
2027,345.37,68.55,283.18,Neutral,8418,61.36,56.59
2023,411.04,77.25,296.32,Negative,8449,71.43,292.48
2023,435.33,75.62,153.7,Positive,1404,61.69,266.18
2023,313.74,114.99,278.29,Negative,8140,81.78,239.27
2025,198.94,73.08,82.29,Negative,5780,78.19,107.16
2023,402.8,16.57,117.17,Negative,1249,75.61,243.08
2024,440.87,87.27,190.23,Neutral,5858,72.1,83.5
2029,402.05,96.84,226.02,Negative,7881,70.52,197.48
2025,461.66,58.76,178.5,Negative,6115,68.94,180.9
2023,479.81,30.59,281.65,Neutral,3832,67.75,164.78
2024,348.32,58.64,102.28,Negative,2906,76.12,165.03
2028,379.07,35.21,224.13,Positive,2887,74.22,216.89
2024,340.77,41.34,255.45,Neutral,5777,65.31,72.18
2023,313.77,59.84,273.55,Positive,8240,62.77,170.29
2028,132.7,132.3,280.22,Positive,5432,68.31,251.55
2023,338.91,148.08,184.15,Neutral,9717,78.55,142.23
2030,388.21,18.73,86.93,Negative,6126,80.61,261.11
2024,278.96,84.57,110.62,Positive,6750,71.32,55.02
2031,436.28,22.49,183.83,Positive,7288,70.29,168.49
2032,415.67,79.78,71.73,Negative,8943,77.6,191.11
2032,213.51,60.83,211.48,Neutral,1876,69.91,283.42
2027,140.71,31.4,111.49,Neutral,7986,62.64,251.47
2030,458.71,21.23,181.13,Positive,6342,86.9,194.0
2026,102.12,146.51,172.69,Neutral,6560,81.55,183.76
2032,211.99,117.73,96.76,Neutral,9915,75.23,110.6
2023,344.25,50.41,195.31,Negative,7988,75.98,62.96
2024,281.71,86.8,187.23,Neutral,3060,80.54,71.97
2027,101.08,26.34,168.29,Neutral,4490,70.47,282.38
2024,149.72,112.32,284.59,Negative,3560,82.23,193.62
2030,431.18,115.07,249.88,Negative,5820,65.59,108.92
2032,463.15,54.27,197.08,Neutral,7943,73.88,125.34
2029,275.5,90.85,138.84,Negative,5033,76.31,276.62
2025,317.14,70.41,133.2,Negative,9135,80.81,91.68
2023,313.38,135.14,247.15,Neutral,2120,81.21,244.64
2023,113.41,89.78,240.61,Negative,2865,70.26,255.31
2026,282.8,94.55,175.57,Positive,3371,81.67,230.01
2025,377.58,85.98,112.95,Positive,6779,65.45,277.11
2028,190.94,69.3,121.98,Negative,3443,87.36,84.78
2024,344.58,12.54,268.03,Positive,4876,81.22,88.13
2032,127.57,20.82,76.06,Positive,4797,87.32,80.7
2027,493.94,127.45,81.17,Positive,4072,86.1,179.71
2030,343.16,63.1,236.06,Neutral,4507,83.63,200.93
2025,259.27,85.24,279.96,Neutral,9070,70.41,234.38
2023,334.83,14.6,278.19,Neutral,2990,64.97,58.47
2023,244.96,91.28,208.07,Neutral,6588,75.46,293.89
2031,159.47,68.05,71.34,Positive,7704,68.99,127.48
2029,270.72,121.97,137.35,Neutral,5524,71.33,259.14
2025,126.28,118.57,163.32,Neutral,7645,73.22,150.19
2028,406.14,24.42,133.59,Negative,9038,82.6,118.08
2025,357.6,67.22,56.35,Neutral,4462,79.77,56.77
2029,201.56,37.46,176.38,Neutral,4310,77.08,271.87
2030,139.78,44.04,230.57,Neutral,3538,88.88,286.1
2028,181.99,51.04,274.08,Negative,5425,62.57,101.97
2025,149.11,132.7,210.73,Neutral,9705,87.32,206.19
2032,430.04,60.83,58.56,Positive,1804,72.28,188.01
2024,444.43,40.73,293.64,Positive,3679,89.56,167.77
2023,293.91,81.74,235.42,Neutral,9428,72.08,104.51
2028,433.97,147.82,181.42,Positive,9996,60.55,278.57
2027,426.02,79.73,66.79,Positive,8141,84.89,101.61
2032,156.01,46.92,116.62,Negative,5263,67.52,208.27
2027,170.15,138.02,154.69,Neutral,3681,72.66,138.47
2028,395.21,21.59,200.79,Neutral,5124,71.68,122.17
2026,387.62,51.6,191.6,Neutral,5150,79.91,284.21
2027,293.5,47.79,184.96,Negative,2762,85.25,261.6
2024,349.33,76.39,136.1,Positive,6760,74.86,222.1
2032,283.87,20.63,69.44,Negative,4549,60.16,75.77
2027,136.63,138.42,84.2,Neutral,4640,73.38,96.28
2030,403.36,99.45,239.76,Positive,3421,79.12,295.14
2024,295.77,40.97,296.92,Positive,9238,61.32,197.07
2023,172.23,89.51,278.87,Neutral,5430,80.92,124.34
2030,488.42,142.2,168.55,Neutral,3419,85.34,129.78
2032,357.82,101.02,141.17,Positive,1130,80.89,134.97
2029,261.79,90.14,250.99,Positive,1920,82.14,180.04
2032,450.67,68.45,165.49,Neutral,5346,86.24,182.23
2025,128.01,11.33,63.17,Positive,9436,74.39,195.19
2031,407.31,68.49,155.34,Positive,4760,63.31,138.66
2024,218.52,42.71,60.52,Positive,9173,61.35,77.37
2031,371.86,40.56,287.49,Positive,5805,89.47,271.05
2030,286.96,95.88,91.76,Negative,8827,85.13,107.64
2025,305.08,42.29,94.13,Neutral,1936,65.59,244.9
2028,420.31,98.17,104.08,Positive,2913,75.75,115.06
2025,403.3,107.44,88.47,Negative,5876,66.71,184.24
2031,457.97,130.42,164.36,Negative,2218,88.67,265.53
2031,231.62,140.42,233.8,Neutral,8291,71.18,114.94
2027,119.51,84.56,290.53,Positive,9987,62.28,262.8
2030,453.16,82.25,276.63,Negative,2591,79.86,185.94
2023,451.45,121.64,214.61,Positive,2704,70.02,109.67
2027,372.06,96.61,238.18,Negative,1556,86.16,57.31
2029,102.06,124.79,107.16,Negative,4998,60.03,189.05
2029,177.25,21.77,131.61,Positive,3064,63.48,144.17
2030,427.47,27.98,120.84,Negative,6352,88.89,135.47
2027,141.0,141.21,221.97,Neutral,8491,69.03,227.04
2028,383.43,76.3,64.48,Negative,7353,86.15,293.37
2026,359.03,93.22,145.9,Positive,8813,71.16,254.7
2032,100.41,32.25,167.13,Positive,8266,73.54,90.91
2029,430.37,51.77,259.99,Negative,4155,79.64,118.31
2023,485.29,14.38,232.82,Negative,5179,71.93,118.55
2025,224.78,54.9,231.11,Neutral,2980,66.01,267.03
2030,247.41,131.01,168.3,Neutral,1984,86.06,244.15
2024,404.41,97.67,82.81,Positive,6655,87.63,204.16
2031,100.49,93.77,201.83,Positive,6797,66.77,90.21
2028,332.79,47.66,249.39,Negative,4788,64.49,166.15
2024,291.98,94.0,122.92,Positive,9920,85.8,244.96
2030,389.71,114.88,86.48,Positive,4117,64.27,174.72
2028,184.14,58.44,243.95,Neutral,9032,75.53,71.97
2023,429.81,60.09,130.52,Neutral,8014,66.03,223.3
2024,116.47,103.85,287.89,Positive,7082,86.89,198.69
2031,120.79,85.78,227.27,Neutral,4389,83.5,203.06
2029,364.33,87.42,199.37,Neutral,9601,74.43,60.19
2032,275.44,111.48,198.32,Positive,2560,86.15,104.8
2029,288.07,114.2,267.96,Positive,5790,61.31,90.42
2028,387.68,41.98,299.08,Positive,9946,80.41,68.05
2023,436.18,34.39,290.2,Neutral,1956,85.39,207.19
2026,301.94,86.06,178.5,Positive,7563,60.88,148.88
2026,449.37,136.1,155.43,Neutral,2394,68.52,139.79
2025,349.19,98.42,233.28,Negative,4591,72.16,200.46
2032,195.02,146.0,95.24,Positive,5648,67.42,267.69
2030,331.77,102.77,73.82,Positive,9219,67.74,214.18
2023,409.39,28.32,292.46,Negative,7430,67.08,68.37
2032,279.51,103.71,86.44,Positive,6895,78.51,226.69
2028,167.05,15.13,234.1,Positive,4568,81.16,161.59
2028,182.34,25.67,117.44,Neutral,1968,75.94,284.15
2023,148.84,73.31,283.47,Positive,2229,80.65,149.34
2024,486.05,10.69,287.95,Neutral,6342,67.63,180.43
2029,366.75,29.55,57.49,Positive,2969,66.06,218.36
2024,175.34,112.32,89.04,Neutral,5612,88.9,113.83
2023,435.25,142.25,220.81,Neutral,8705,86.07,192.65
2030,418.2,138.61,200.15,Negative,4124,80.01,194.3
2024,499.77,16.75,294.29,Positive,6208,86.12,245.6
2031,143.64,101.07,241.3,Neutral,5114,84.24,240.57
2031,226.88,131.65,143.92,Neutral,1454,60.17,131.15
2032,258.47,107.37,147.14,Positive,2440,67.13,143.31
2028,129.28,94.48,217.05,Neutral,3989,75.01,185.59
2030,307.63,77.09,56.41,Neutral,5760,71.41,149.71
2027,198.43,76.74,148.59,Negative,6445,82.41,228.87
2027,178.31,11.06,211.87,Negative,7936,79.64,145.02
2026,473.77,59.23,75.36,Positive,1963,67.7,121.22
2025,332.37,22.55,229.41,Neutral,7787,84.7,180.62
2029,372.45,35.4,181.29,Negative,8102,63.21,191.83
2032,467.1,69.43,71.76,Neutral,6291,61.3,208.29
2029,355.19,82.12,198.38,Neutral,5616,79.4,93.69
2031,435.94,136.0,138.36,Neutral,2316,69.06,232.99
2026,269.5,103.46,73.88,Neutral,4040,72.72,88.25
2023,394.75,130.79,104.18,Positive,9853,60.71,210.49
2029,318.68,42.47,147.73,Positive,9632,74.9,296.95
2025,338.82,104.62,160.68,Positive,7602,89.74,82.1
2025,341.29,57.21,276.38,Positive,6101,67.95,211.32
2026,176.75,55.27,106.66,Positive,1707,73.27,257.97
2027,127.97,99.62,117.79,Neutral,9258,75.99,131.08
2025,176.13,17.33,144.62,Neutral,4874,81.92,166.3
2030,332.19,22.43,290.42,Positive,4374,66.03,183.96
2031,428.72,10.17,125.21,Negative,2679,71.48,79.96
2025,160.97,148.95,281.75,Positive,1285,75.63,205.9
2024,415.16,131.06,202.12,Neutral,3785,61.89,79.41
2029,205.25,60.42,71.91,Negative,3496,69.17,149.25
2029,476.95,132.27,90.44,Neutral,5437,77.0,147.76
2023,146.55,124.44,145.16,Neutral,8629,84.18,247.51
2026,427.49,55.15,55.72,Negative,5225,66.71,289.33
2024,356.39,125.15,83.13,Neutral,5259,78.19,84.8
2028,431.73,54.45,288.2,Neutral,2048,79.99,80.44
2027,110.32,28.92,290.78,Positive,9734,75.18,159.88
2028,100.13,12.48,200.64,Negative,7610,71.59,191.11
2024,283.92,18.14,298.72,Positive,6175,68.92,157.58
2031,156.9,26.99,125.82,Negative,7406,80.76,65.57
2026,353.28,42.05,108.16,Positive,1419,75.81,156.52
2027,454.64,72.97,98.66,Negative,2549,65.31,146.77
2027,104.41,68.26,170.34,Neutral,5837,67.79,240.07
2032,175.88,96.65,130.88,Neutral,9433,78.88,99.71
2027,483.83,78.3,77.43,Negative,5798,74.98,116.5
2027,295.3,31.01,131.17,Neutral,5839,84.32,203.52
2028,256.96,143.87,83.29,Positive,4191,69.46,222.03
2023,436.35,15.38,275.44,Positive,8451,79.12,214.84
2028,354.67,95.95,66.66,Positive,8083,75.37,220.06
2030,133.92,110.29,68.02,Negative,3711,61.07,177.14
2030,241.3,51.51,137.43,Negative,6330,79.84,96.3
2032,139.36,102.44,241.09,Neutral,7511,89.04,123.86
2030,349.87,63.47,101.42,Positive,2827,78.45,243.66
2031,483.93,76.96,273.95,Neutral,3196,63.76,168.58
2024,340.75,91.54,237.02,Neutral,9714,61.31,77.7
2024,189.85,62.1,158.02,Neutral,8128,64.91,118.45
2026,148.6,37.65,271.73,Positive,6341,85.84,261.63
2031,317.61,99.05,105.27,Neutral,1301,81.85,244.11
2028,401.27,47.71,184.89,Positive,4537,63.24,221.32
2026,427.11,39.89,176.46,Positive,4754,82.75,235.86
2025,219.02,89.1,222.22,Negative,7251,79.09,240.28
2030,284.62,11.31,111.67,Positive,1514,89.75,74.79
2032,363.02,53.53,235.59,Neutral,3159,83.51,188.56
2028,439.22,127.59,258.17,Neutral,2037,82.49,239.67
2026,230.77,30.84,126.4,Negative,2124,63.74,146.34
2026,388.83,134.07,198.26,Positive,8909,72.38,223.9
2027,111.63,33.36,95.33,Positive,3563,75.3,230.85
2027,331.99,88.61,190.17,Neutral,1161,77.98,200.54
2025,299.3,20.79,64.64,Positive,1541,89.46,102.46
2026,306.91,71.63,86.86,Negative,7256,73.02,72.15
2026,125.02,122.19,241.65,Positive,2019,68.98,93.37
2028,354.47,119.99,79.58,Neutral,3125,82.42,235.0
2032,335.11,35.83,140.56,Neutral,6068,81.01,196.45
2028,209.23,82.53,124.68,Positive,2449,85.58,106.39
2027,436.77,36.05,250.66,Neutral,9895,74.49,83.37
2026,119.94,136.55,277.35,Positive,1685,78.31,83.84
2026,362.78,143.93,67.24,Neutral,5998,67.41,276.56
2030,489.93,61.97,157.22,Positive,1204,68.04,89.1
2026,113.45,18.77,276.61,Positive,1689,72.33,136.84
2024,392.98,86.76,82.0,Negative,2449,84.84,246.93
2031,297.79,147.14,86.24,Negative,2753,65.74,134.57
2025,488.8,95.19,137.38,Positive,7304,64.54,106.33
2032,135.54,105.73,186.28,Positive,1572,85.8,230.7
2031,416.68,86.84,203.23,Neutral,4648,72.86,85.24
2028,439.99,103.66,165.57,Negative,4750,76.36,65.57
2030,144.77,59.84,294.52,Negative,2854,74.92,134.94
2027,165.88,56.23,239.19,Neutral,6774,66.15,269.46
2028,164.65,45.77,286.66,Neutral,4867,83.16,56.79
2031,137.66,58.11,120.61,Neutral,3274,63.16,214.2
2031,258.95,23.08,160.27,Negative,3551,65.6,73.51
2031,331.04,98.84,249.48,Negative,9078,87.45,183.26
2032,279.04,88.09,91.51,Negative,1258,86.92,92.21
2028,156.28,38.28,96.06,Positive,1687,64.56,160.08
2028,487.1,129.96,79.41,Negative,8183,89.65,171.34
2027,367.17,98.85,91.49,Neutral,2529,72.82,90.56
2027,323.9,83.84,229.84,Neutral,8833,62.38,232.87
2031,427.63,85.71,227.56,Positive,6569,84.65,164.82
2027,201.73,124.7,269.96,Neutral,5079,81.36,256.49
2023,195.95,29.88,136.99,Negative,6433,78.41,158.88
2028,395.23,122.87,260.93,Negative,9915,82.18,76.59
2025,374.53,19.75,93.72,Positive,6779,66.82,259.26
2029,130.83,57.65,266.6,Negative,6925,70.81,67.13
2031,221.58,101.44,284.58,Positive,5646,84.22,64.77
2024,360.31,132.39,50.05,Negative,4674,71.69,144.88
2026,252.64,28.04,153.19,Negative,6626,72.68,60.51
2030,110.87,145.27,81.86,Positive,5178,89.18,256.51
2025,421.96,12.52,290.7,Negative,2531,79.05,162.46
2030,381.47,85.7,74.13,Neutral,1264,60.37,167.19
2031,429.81,20.39,106.59,Neutral,1040,61.44,275.72
2030,450.9,56.26,135.1,Negative,6374,62.37,109.88
2023,214.12,70.09,116.94,Neutral,2492,75.64,65.91
2026,188.09,78.37,234.39,Positive,4516,60.98,267.14
2024,451.59,90.05,179.36,Negative,2447,69.51,158.65
2031,236.33,33.08,92.65,Positive,8986,73.36,247.2
2025,194.97,81.73,76.06,Neutral,9770,79.57,287.63
2024,289.16,147.74,117.24,Neutral,8429,86.74,50.73
2028,118.26,29.6,119.2,Positive,3800,78.68,167.44
2026,182.8,82.32,51.38,Neutral,5976,66.57,59.18
2023,235.54,122.36,193.01,Neutral,6482,61.33,119.46
2030,134.84,96.39,78.46,Negative,1182,86.23,173.39
2025,280.24,140.12,91.3,Negative,7132,67.75,218.65
2023,429.52,143.71,255.3,Positive,9365,61.53,114.4
2029,116.22,132.02,114.17,Neutral,4744,73.69,142.26
2025,338.53,86.94,275.08,Neutral,8922,70.64,285.43
2031,358.58,134.33,199.67,Neutral,5658,87.4,203.14
2025,389.59,26.88,275.61,Neutral,1386,76.02,85.53
2023,377.95,84.55,162.21,Negative,8980,71.98,277.53
2023,186.42,75.33,254.18,Neutral,2819,71.62,262.96
2026,369.19,48.55,126.58,Neutral,4259,66.79,146.06
2025,443.02,138.33,157.75,Negative,2141,81.17,222.1
2029,304.67,33.19,211.44,Positive,5928,70.38,88.61
2032,358.33,99.17,135.15,Negative,2829,85.41,182.77
2026,332.09,88.36,76.31,Positive,2900,89.16,107.12
2030,302.18,144.96,146.05,Negative,8597,60.93,147.0
2032,258.17,53.85,86.77,Positive,5009,87.0,79.03
2032,249.92,76.36,161.03,Neutral,7139,76.36,72.05
2026,112.38,145.9,243.38,Positive,4236,74.34,183.06
2028,198.76,127.4,139.05,Neutral,2439,81.27,94.29
2027,236.98,47.83,291.6,Negative,5931,70.42,195.12
2030,499.89,31.07,254.19,Negative,7652,89.82,270.08
2030,230.33,120.95,165.36,Negative,3567,61.18,168.89
2026,462.78,28.53,198.25,Neutral,9458,70.6,164.62
2028,152.26,120.67,81.21,Positive,2207,68.27,269.27
2028,159.52,74.77,295.25,Neutral,8166,69.07,172.85
2023,325.08,71.77,201.44,Positive,7642,77.32,266.39
2024,277.38,94.3,197.85,Negative,1364,74.29,299.03
2030,441.58,71.48,261.74,Negative,8742,86.5,162.08
2029,107.65,76.76,221.93,Negative,4906,80.78,83.61
2027,243.49,122.62,119.69,Neutral,5152,83.8,297.64
2024,370.73,125.99,123.65,Negative,2088,70.25,208.23
2027,102.27,141.19,255.48,Positive,9448,85.38,203.4
2030,259.64,111.24,120.08,Neutral,3014,61.98,137.21
2025,352.84,90.79,224.44,Positive,3130,75.68,124.89
2030,145.17,127.89,110.56,Neutral,8355,64.36,227.53
2030,218.12,42.53,120.25,Negative,5727,72.15,276.53
2029,290.57,41.64,210.12,Positive,3828,78.1,139.45
2031,403.84,36.3,229.95,Neutral,8241,77.58,206.2
2026,354.84,83.68,165.79,Neutral,9244,84.12,188.13
2026,157.15,118.55,117.85,Negative,7046,68.53,83.46
2024,388.69,48.02,150.61,Positive,6086,65.67,245.75
2024,210.47,108.98,65.67,Neutral,7056,70.21,285.11
2031,244.09,47.86,260.68,Neutral,3224,71.32,284.08
2025,135.72,106.18,173.45,Positive,8094,60.13,91.74
2027,450.2,35.59,119.61,Negative,6904,80.28,286.0
2031,142.15,119.46,211.04,Neutral,2124,74.96,146.28
2031,290.39,25.54,208.61,Negative,6355,60.09,264.74
2024,320.83,68.21,229.91,Positive,5424,86.09,232.62
2028,186.3,104.89,201.94,Neutral,4976,64.1,212.91
2024,394.84,146.44,63.05,Neutral,2461,77.38,71.34
2025,366.75,125.26,245.5,Positive,8982,85.06,53.67
2027,464.43,127.36,227.35,Neutral,1674,74.79,151.07
2023,462.43,47.33,231.21,Positive,9931,61.25,149.41
2023,224.75,118.36,243.23,Neutral,7091,63.77,54.24
2031,148.08,47.18,54.39,Positive,9224,82.17,105.82
2031,248.7,10.19,124.95,Positive,4718,86.38,218.9
2030,413.28,119.25,164.5,Neutral,9835,86.98,227.53
2024,341.32,76.28,64.93,Neutral,9707,88.73,285.68
2027,312.29,101.13,211.15,Neutral,1232,66.15,231.41
2029,156.32,97.14,245.33,Positive,7410,89.45,181.82
2026,255.27,104.38,114.98,Positive,7707,70.12,231.25
2031,456.06,109.08,65.55,Positive,8763,78.93,161.92
2028,266.26,52.27,240.27,Positive,6241,80.39,69.06
2028,471.46,116.52,186.71,Neutral,2932,73.76,190.22
2028,278.22,39.29,62.49,Positive,8888,89.44,248.29
2028,143.56,99.12,174.56,Negative,8160,66.57,164.74
2024,337.42,20.23,205.59,Neutral,1619,83.78,276.97
2024,379.32,65.33,288.22,Neutral,6366,71.78,263.56
2026,198.94,99.69,216.65,Negative,4667,76.95,242.91
2028,341.23,126.96,246.11,Neutral,4326,79.03,105.52
2030,439.22,112.04,73.85,Positive,5444,74.43,215.61
2032,460.55,31.53,297.52,Neutral,3176,61.35,240.25
2023,354.18,22.7,58.15,Negative,4696,73.33,118.89
2023,415.02,45.14,191.02,Negative,2105,79.7,110.1
2032,450.94,146.41,56.88,Negative,4786,82.55,107.17
2023,170.09,131.35,120.62,Positive,8423,73.1,195.02
2025,230.54,127.55,85.95,Negative,8470,87.11,261.46
2027,267.78,119.25,169.08,Negative,4180,77.73,96.53
2025,337.52,14.59,209.01,Negative,1270,86.38,165.0
2030,430.7,16.67,231.69,Positive,4607,70.58,256.2
2024,450.35,85.47,120.62,Negative,1580,71.75,186.68
2031,100.0,68.32,180.63,Positive,7534,66.11,52.52
2026,192.17,10.21,232.34,Neutral,5082,79.89,235.47
2027,403.63,95.35,274.01,Positive,7680,67.58,117.86
2031,248.38,136.27,251.67,Negative,6141,71.8,197.66
2023,252.28,68.03,238.46,Negative,9712,68.07,207.11
2028,206.13,94.22,124.14,Positive,6754,82.77,75.63
2023,383.4,34.09,293.1,Negative,8361,80.92,228.58
2028,468.4,107.24,232.25,Neutral,4664,60.93,62.97
2031,238.14,56.99,294.63,Negative,4408,81.04,231.76
2029,319.72,53.68,170.63,Neutral,9560,60.76,259.75
2030,419.02,96.23,260.82,Negative,7871,81.15,254.28
2031,313.72,85.7,157.4,Positive,7426,74.47,79.62
2025,480.99,41.74,269.84,Positive,4731,80.31,206.26
2024,448.57,104.18,249.17,Negative,4277,78.75,192.94
2029,462.43,11.7,218.5,Positive,1112,60.59,147.67
2027,241.18,96.98,133.51,Positive,7043,72.14,67.09
2023,214.3,70.59,221.36,Positive,9058,61.7,143.48
2026,492.82,119.88,233.37,Negative,7358,72.55,237.73
2030,496.14,55.54,285.32,Positive,7361,73.5,294.28
2024,488.27,25.86,150.9,Positive,4802,75.59,68.51
2025,182.13,77.63,117.13,Neutral,7309,89.06,200.91
2029,168.84,139.57,67.08,Positive,3195,77.97,205.91
2024,206.96,12.12,291.25,Negative,2306,80.28,226.66
2028,225.16,47.95,199.42,Positive,8619,88.4,76.48
2032,344.9,39.83,284.76,Positive,2271,77.63,225.28
2031,120.2,97.85,146.4,Negative,1816,76.26,284.91
2032,259.61,127.57,97.14,Neutral,9367,79.95,174.51
2028,230.82,134.61,71.08,Positive,4676,75.38,159.6
2025,335.78,95.86,209.42,Neutral,5017,81.42,72.85
2023,427.35,17.0,277.88,Negative,7136,60.47,69.29
2024,125.01,74.25,233.18,Neutral,2184,80.19,70.29
2029,435.4,122.71,255.75,Negative,2993,75.41,113.34
2030,127.38,61.96,280.19,Neutral,8786,76.15,117.21
2023,458.14,103.3,246.85,Positive,3817,78.91,112.1
2028,271.04,71.96,212.33,Positive,8697,84.74,123.1
2032,108.77,52.15,175.66,Positive,5970,74.73,281.78
2023,405.78,67.35,213.79,Positive,2637,64.78,90.12
2027,414.61,141.95,236.69,Negative,3668,84.79,161.55
2026,215.67,53.37,112.49,Neutral,4606,67.65,235.63
2032,431.42,120.5,126.95,Negative,7121,71.21,117.87
2023,227.44,136.5,69.41,Positive,3594,70.47,180.4
2027,370.78,127.31,264.69,Negative,7968,60.4,123.99
2027,264.44,111.07,146.2,Negative,6164,64.96,50.5
2024,312.76,120.52,124.2,Neutral,5384,70.36,153.55
2032,452.66,27.01,208.66,Negative,8178,67.36,64.43
2028,207.04,56.99,237.35,Negative,6628,72.44,238.47
2023,316.36,107.5,225.54,Positive,2948,75.0,152.99
2028,330.16,13.1,286.28,Positive,5927,87.99,159.77
2030,376.83,38.88,147.96,Positive,6126,83.19,287.86
2023,107.25,120.99,67.26,Positive,8374,86.57,105.48
2032,201.31,11.4,230.86,Positive,8260,84.64,260.83
2025,150.95,49.97,182.89,Positive,5434,84.62,151.14
2025,105.35,67.36,211.94,Neutral,9575,66.1,66.74
2028,291.7,35.44,235.77,Negative,9923,76.37,295.43
2024,250.19,122.53,158.37,Positive,1634,61.29,161.6
2025,240.21,62.15,67.18,Neutral,6626,71.08,61.33
2024,364.67,77.76,51.33,Neutral,7460,63.11,62.16
2026,406.61,91.72,245.49,Positive,3854,80.32,239.63
2025,368.46,96.87,235.56,Negative,4163,65.85,272.6
2032,463.29,116.22,199.29,Neutral,9995,85.58,185.41
2032,222.76,68.1,228.19,Negative,6944,67.25,103.73
2032,302.82,36.31,69.24,Neutral,7539,73.32,162.69
